,address,asking_price,baths,beds,city,cooling,days_on_zillow,exterior_lot,exterior_lot_depth,exterior_lot_width,foreclosure_estimate,heating,hoa,lot,mls__,offer_type,parking,price_sqft,saves,sqft,type,year_built,zestimate_value,zestimate_price_sqft
29,292 Zerega Ave,,,,"Bronx, NY 10473",No Data,No Data,1972.0,93.0,22.0,"$521,349",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,1,3068,Multiple Occupancy,2011.0,704527.0,229.63722294654497
30,306 Zerega Ave,,,,"Bronx, NY 10473",No Data,No Data,1886.0,93.0,22.0,"$514,294",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,1,3068,Multiple Occupancy,2011.0,694992.0,226.52933507170795
31,312 Zerega Ave,,,,"Bronx, NY 10473",No Data,No Data,1853.0,93.0,22.0,"$516,061",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,No Data,3068,Multiple Occupancy,2011.0,697380.0,227.30769230769232
32,2127 Virgil Pl,,,,"Bronx, NY 10473",No Data,8003 Days,2900.0,100.0,29.0,"$416,805",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,4,2480,Multiple Occupancy,1930.0,563250.0,227.11693548387098
33,290 Zerega Ave,,,,"Bronx, NY 10473",No Data,No Data,1962.0,93.0,22.0,"$521,458",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,1,3068,Multiple Occupancy,2011.0,704673.0,229.6848109517601
34,282 Zerega Ave,,,,"Bronx, NY 10473",No Data,No Data,1796.0,93.0,22.0,"$515,790",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,1,3068,Multiple Occupancy,2011.0,697014.0,227.1883963494133
35,284 Zerega Ave,,,,"Bronx, NY 10473",No Data,No Data,1822.0,93.0,22.0,"$515,979",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,1,3068,Multiple Occupancy,2011.0,697269.0,227.27151238591915
36,414 Howe Ave,,,,"Bronx, NY 10473",No Data,No Data,1914.0,108.0,17.0,"$271,389",No Data,,"1,914 sqft",,PRE-FORECLOSURE,Attached Garage,No Data,No Data,1558,Single Family,1965.0,366742.0,235.392811296534
37,308 Zerega Ave,,,,"Bronx, NY 10473",No Data,No Data,1867.0,93.0,22.0,"$514,355",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,No Data,3068,Multiple Occupancy,2011.0,695075.0,226.55638852672752
38,2122 Quimby Ave,,,,"Bronx, NY 10473",No Data,5000 Days,2575.0,103.0,25.0,"$424,339",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,2,2620,Multiple Occupancy,1920.0,573432.0,218.86717557251907
39,2248 Bruckner Blvd,,,,"Bronx, NY 10473",No Data,8800 Days,2575.0,103.0,25.0,"$389,020",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,3,2900,Multiple Occupancy,1920.0,525703.0,181.27689655172415
40,463 Castle Hill Ave,,3.0,6.0,"Bronx, NY 10473",No Data,3677 Days,2713.0,108.0,25.0,"$491,615",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,56,3316,Multi Family,2000.0,664345.0,200.34529553679133
41,2116 Lacombe Ave,,,1.0,"Bronx, NY 10473",No Data,8211 Days,1742.0,98.0,18.0,"$319,355",No Data,,"1,742 sqft",,PRE-FORECLOSURE,No Data,No Data,16,2115,Single Family,1960.0,431562.0,204.0482269503546
